amount,name,unit
150,Joghurt,g
1,mittelgroße Papaya,
1,kleine Banane,
50,Blaubeeren,g
4,Dinkel-Flakes,EL
2,flüssiger Honig,TL
,Salz,
100,REWE ja! Emmentaler gerieben (45 % Fett),g
125,REWE ja! Rohschinken gewürfelt,g
,Fett für die Form,
1,rote Zwiebel,
1,REWE ja! Butter mild gesäuert,EL
400,frische Spätzle (Kühlregal),g
85,REWE Bio Süßrahmbutter,g
1,REWE Bio Zitrone,
4,Eier,
4,Eigelb,
50,ja! Puderzucker,g
1,Vanilleextrakt,TL
5,Schnittlauch,Halm(e)
,Salz,
85,Lemon Curd,g
,etwas Butter zum Einfetten,
,etwas Puderzucker zum Bestäuben,
2,Ingwer,cm
1,Zitronengras,Stange(n)
150,Tofu,g
150,braune Champignons,g
100,Kirschtomaten,g
1,Karotte,
1,gelbe Paprika,
1,Chilli,
1,Kokosmilch,Dose(n)
350,Gemüsebrühe,ml
2,Kaffir Limettenblätter (getrocknet),
2,Mandelblättchen,EL
2,Sojasoße,EL
1,Limette,
100,ja! Weiße Schokolade,g
65,REWE Beste Wahl Weizenmehl Type 405,g
"0,50",brauner Zucker,TL
,Salz,
2,Koriander,Stiel(e)
6,Chiquita Bananen (überreif),
1,Vanilleschote,
100,Magerquark,g
240,Milch,ml
6,Ahornsirup,EL
100,Macadamia,g
100,Haselnüsse,g
400,Vollkorn-Dinkelmehl,g
100,Haselnüsse (gemahlen),g
4,Backpulver,TL
2,Eier,
1,Salz,Prise(n)
400,Tempeh,g
"0,50",Ananas,
3,Frühlingszwiebeln,
10,Cherrytomaten,
4,Sojasoße,EL
2,Agavendicksaft,EL
1,Bio-Limette,
2,Sesamöl,EL
1,Knoblauchzehe,
1,Schalotte,
"0,50",rote Chilischote,
1,Erdnussmus,EL
2,Rapsöl,EL
1,Rohrohrzucker,TL
2,"geröstete, gesalzene Erdnüsse",EL
100,Gemüsebrühe,ml
1,Koriander,Bund
1,Spitzkohl,
2,Zwiebeln,
2,Butterschmalz,EL
400,Schupfnudeln,g
4,Möhren,
1,Salatgurke,
1,Kümmel,Prise(n)
1,Pfeffer,Prise(n)
,Salz,
4,geräucherte Mettenden,
2,Schalotten,
3,Chiquita Bananen (überreif),
1,Chilischote,
2,Rapsöl,EL
1,Currypulver,TL
1,Kurkuma,TL
200,Gemüsebrühe,ml
400,Kokosmilch,ml
200,Orangensaft,ml
15,Koriander,g
1,Erdnüsse,Handvoll
,Salz,
,Pfeffer,
"0,50",REWE Regional Hokkaido,
1,REWE Regional Zwiebel,
1,Knoblauchzehe,
2,Rapsöl,EL
,Salz,
,Pfeffer,
200,Risottoreis,g
100,Weißwein,ml
30,Kürbiskerne,g
6,Trockenhefe,g
1,Salz,TL
300,Mehl (Type 550),g
1,Zucker,Prise(n)
170,Wasser,ml
50,Parmesan,g
,Cayennepfeffer,
750,Gemüsebrühe,ml
700,Zwiebeln,g
3,Sojamehl,TL
200,Räuchertofu,g
1,Pflanzenöl,EL
200,Soja Kochcreme,ml
,Pfeffer,
,Muskatnuss,
"0,50",Margarine,TL
1,Schalotte,
1,Knoblauchzehe,
3,Sojasoße,EL
2,Tamarindenpaste,EL
1,Zucker,TL
1,Limette,
1,Ingwer,Stück
300,Tempeh,g
2,Öl,EL
400,Brokkoli,g
200,grüne Bohnen,g
2,Möhren,
3,Lauchzwiebeln,
2,hartgekochte Eier,
500,Seitan,g
3,rote Zwiebeln,
2,Zucchini,
2,Möhren,
2,Lauchzwiebeln,
2,Öl,EL
200,Kokosmilch,ml
150,Gemüsebrühe,ml
8,Ketchup,EL
3,Essig,EL
4,Sojasoße,EL
,Cayennepfeffer,
1,Maisstärke,TL
500,REWE Regional Fenchel,g
100,REWE Regional Kartoffeln,g
1,Zwiebel,
3,Rapsöl,EL
2,Curry (mild),EL
200,Weißwein,ml
400,Gemüsebrühe,ml
200,Sahne,ml
,Salz,
,Pfeffer,
4,Toastbrot,Scheibe(n)
400,Bandnudeln,g
300,Zuckerschoten,g
1,rote Zwiebel,
3,Knoblauchzehen,
100,"geröstete, gesalzene Erdnüsse",g
2,Olivenöl,EL
1,Knoblauch,Zehe(n)
125,Weißwein (Two Oceans Sauvignon Blanc),ml
200,Sahne,ml
100,Gemüsebrühe,ml
,Salz,
,Salz,
,Pfeffer,
,Salz,
1,REWE Regional Brokkoli,kg
2,Knoblauch,Zehe(n)
3,Eier,
150,REWE Bio Ziegenfrischkäse,g
80,Mehl,g
150,Paniermehl,g
,Muskat,
,Muskat,
2,Öl,EL
"0,50",Schnittlauch,Bund
200,Milch,ml
50,Butter,g
270,Mehl,g
125,Butter,g
3,Eier,
,Salz,
2,Wasser,EL
300,Rosenkohl,g
200,Möhren,g
50,Parmesan,g
800,REWE Regional Kartoffeln,g
,Pfeffer,
2,Schalotten,
150,REWE Bio Himbeeren TK,g
500,Speisequark Magerstufe,g
1,Bananen,
4,Zentis Erdbeere Fruchtaufstrich 50 % weniger Zucker,EL
2,Rapsöl,EL
50,REWE Beste Wahl Knusper Müsli weniger süß,g
40,Kokos-Chips,g
,Pfeffer,
1,THOMY Sauce Hollandaise,Packung(en)
150,frische Shiitakepilze,g
200,Pak Choi,g
200,fester Tofu,g
1,Zwiebel,
4,Sesamöl,EL
"1,20",Gemüsebrühe,l
2,rote Currypaste,EL
2,Eier,
350,Mie Nudeln,g
10,Koriander,Stiel(e)
1,Chilifäden,Prise(n)
60,Schalotten,g
8,Estragon,Zweig(e)
3,REWE Feine Welt Lesvos g.g.A. mildes Olivenöl,EL
200,Schlagsahne,g
1,REWE Feine Welt Gemüse Fond,Glas
4,heller Soßenbinder,EL
4,Lachsfilets,Stück
1,Zwiebel,
120,Gewürzgurken,g
,Salz,
,Salz,
,Pfeffer,
80,"Senf, mittelscharf",g
200,REWE Feine Welt Elsässer Sonntag (Bandnudeln),g
3,Butterschmalz,EL
1,Tomatenmark,EL
200,Rotwein,ml
250,Gemüsebrühe,ml
1,brauner Zucker,EL
2,Speisestärke,TL
350,Kräuterseitlinge,g
1,Zwiebel,
2,Schinkenwürste,
5,Oregano,Zweig(e)
2,REWE Feine Welt Lesvos g.g.A: Olivenöl,EL
,REWE Feine Welt Rosa Kristallsalz,
,REWE Bio Pfeffer a. d. Mühle,
1,ja! Tomatenmark,EL
,Pfeffer,
120,geräucherter Bauchspeck,g
400,ja! gehackte Tomaten,g
150,REWE Bio Gemüsebrühe (Instant),ml
,ja! Zucker,
400,REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),g
4,REWE Feine Welt Prosciutto,Scheibe(n)
12,Salbei,Blatt
400,REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),g
,Salz,
2,Knoblauch,Zehe(n)
1,Chilischote,
2,REWE Feine Welt Lesvos g.g.A. Olivenöl,EL
2,Tomatenmark,EL
400,Basmatireis,g
1,kleiner Kopf Brokkoli,
1,REWE Feine Welt Sugo piccante,Glas
1,Aubergine,
200,Champignons,g
2,Hähnchenbrust,Stück
,Salz,
5,Mehl,EL
2,Eier,
8,Panko Paniermehl,EL
2,Kokosöl,EL
100,Teriyaki-Sauce,ml
50,Sriracha Sauce,ml
100,Sojasprossen,g
1,Bio-Lachsfilet (tiefgefroren),Packung(en)
"0,25",Weißkohl,
4,Olivenöl,EL
2,Zitronensaft,EL
2,Honig,TL
,Salz,
,Pfeffer,
50,Ingwer,g
2,Vanilleschoten,
"0,50",Bio-Orange,
2,REWE Feine Welt Bandnudeln Elsässer Sonntag,Portionen
2,Pflanzenöl,EL
30,Butter,g
4,Thymian,Zweig(e)
400,REWE Beste Wahl tiefgefrorener Blattspinat,g
2,Rapsöl,EL
30,Pinienkerne,g
2,Schalotten,
1,Knoblauchzehe,
200,Gemüsebrühe,ml
,Salz,
,weißer Pfeffer,
,frische geriebene Muskatnuss,
100,Schmand,g
400,REWE Beste Wahl Bandnudeln,g
40,Parmesankäse,g
"0,80",tiefgefrorener Blattspinat,kg
1,Rapsöl,l
,Pfeffer,
400,REWE Feine Welt Elsässer Sonntag (Bandnudeln),g
1,rote Chilischote,
250,Kirschtomaten,g
200,"küchenfertige Garnelen (ohne Kopf, Schale und Darm)",g
100,Mangosauce,g
2,Basilikum,Zweig(e)
2,Öl,EL
,Salz,
,Pfeffer,
2,Schalotten,
150,REWE Feine Welt Le Gruyère AOP,g
500,grüner Spargel,g
1,Porree,Stange(n)
1,Schnittlauch,Bund
400,REWE Feine Welt Elsässer Sonntag Bandnudeln,g
,Salz,
2,REWE Feine Welt Lesvos g.g.A. Olivenöl,EL
400,REWE Feine Welt Gemüsefond,ml
200,Schlagsahne,g
1,(gestrichen) Speisestärke,TL
2,Zitronensaft,EL
