x|y|labels
30.0335178375|-13.26765728|Lebensmittelfarbe
35.3506393433|-11.9936542511|Abrieb
24.6315975189|-13.4043560028|Limette
15.8356323242|-12.0637207031|Beste
22.4329299927|-14.3700866699|Wahl
9.8111190796|-6.7183213234|Schlagsahne
36.1552238464|-12.4926271439|g
22.1964874268|-14.4096460342|REWE
-37.4898757935|2.9669971466|Linguine
13.3054695129|-9.0821170807|Mandeln
38.3065185547|-12.3103704453|EL
17.5769233704|-11.9142313004|gehackt
5.6231594086|-1.4011075497|Mango
33.7273254395|-12.7571849823|Dosen
-13.0627403259|14.0298013687|gewürfelt
7.9285178185|-4.2331795692|tiefgefroren
17.6963539124|-12.1463346481|Milch
0.9290756583|4.9305753708|Creme
-9.0572872162|12.6830339432|Bier
26.5286922455|-12.4905900955|z
21.2776737213|-13.9429855347|B
36.0898666382|-12.2340612411|ml
-35.5019950867|5.040186882|Mineralwasser
38.5250167847|-12.0531892776|mit
-21.0740776062|13.7186460495|Mini
-20.4383487701|13.9074573517|Cookies
9.881234169|-6.7107844353|Mozzarella
25.1287670135|-13.5363855362|gerieben
36.5617866516|-11.7666978836|%
30.6637763977|-13.2136363983|Fett
-9.5757055283|12.8735694885|Muskatnuss
8.3421411514|-4.577144146|Prisen
-4.0589704514|8.9360532761|Natives
18.1761703491|-12.954662323|Olivenöl
-2.8410279751|7.6256771088|extra
31.1149997711|-13.1262111664|Orange
27.5201663971|-13.0293941498|zB
38.5901184082|-12.0737295151|oder
-28.1355342865|10.4276304245|Paniermehl
6.3056306839|-2.6048121452|Champignons
37.3720779419|-12.3786993027|Glas
10.1869392395|-6.4042868614|Butter
36.5018539429|-12.4551458359|Packungen
-13.2526054382|14.0712976456|Penne
32.3913116455|-12.9352588654|Pfeffer
39.9511146545|-11.418753624|aus
37.57787323|-12.8309240341|der
16.8115196228|-11.5363922119|Mühle
-23.9480552673|12.5335540771|Pinienkerne
-35.3039512634|4.3847866058|Preiselbeeren
37.0651473999|-12.3181018829|TL
14.8825950623|-10.3863830566|gemahlen
-36.6674118042|3.4786527157|Rispentomaten
25.7707443237|-13.1394386292|Bio
-21.7522602081|12.8501605988|Apfel
21.7708930969|-13.898648262|von
9.6281547546|-5.8994336128|Sahne
4.3818435669|0.0591601841|Schnittlauch
19.7274837494|-12.6717414856|im
19.3424873352|-12.5862550735|Topf
-0.5469523668|5.9571390152|Haselnüsse
-0.7621016502|6.4861450195|Salat
-5.1672120094|10.049539566|Sonnenblumenöl
-22.6748085022|12.9060115814|Spaghetti
-28.524312973|9.762140274|Spätzle
22.355890274|-13.2143983841|TK
6.2105998993|-1.813575387|Blattspinat
14.6502075195|-10.5389404297|Nudeln
-11.6051521301|13.8144598007|Spinat
28.7229671478|-13.4251317978|Tomaten
31.6545906067|-13.0507364273|in
-35.9575462341|3.9995267391|Vanilleschote
14.470621109|-10.1512680054|Vollmilch
10.265376091|-6.5445585251|38
16.2948760986|-11.2928504944|Basilikum
-26.8130073547|10.8032474518|VollmilchJoghurt
-22.213809967|12.6611595154|Wiener
-6.6149897575|11.5807676315|Würstchen
1.550973773|3.5455963612|Curry
28.4970989227|-13.5945339203|grün
-27.7684059143|10.2549304962|Brötchen
-27.9556674957|10.6302022934|Zartbitter
25.0269527435|-13.5043506622|Schokolade
-35.398021698|4.9865102768|ZartbitterSchokolade
4.3149709702|0.1359318048|Zartbitterschokolade
-33.0030136108|6.6309657097|Ziegenkäse
29.0349979401|-13.4041862488|Scheiben
-13.6763534546|13.9679079056|Zimt
17.2412052155|-11.7920303345|Zwiebel
-37.4628791809|3.3047800064|RohRohrzucker
-21.7389583588|13.54596138|eingelegte
8.4200124741|-4.9490528107|Peperoni
34.6228599548|-12.5928821564|rote
-4.9165120125|10.3719892502|Chilischoten
38.2227516174|-12.2135314941|frische
36.3114089966|-12.0187921524|Eier
38.9328727722|-12.1827068329|Größe
36.9044876099|-11.8676404953|M
9.3159046173|-6.3286676407|gemahlene
40.0292625427|-11.2643756866|ohne
7.5853805542|-4.3289189339|Haut
25.9406986237|-13.5575437546|geriebener
34.4771881104|-12.2867851257|Oliven
-38.4371910095|2.5306053162|Kochschinken
-27.7973747253|10.4234323502|Senf
-21.8301067352|13.3017663956|Zwiebeln
-13.2210388184|13.7878456116|saure
7.8483729362|-4.4066038132|tiefgefrorene
19.2463226318|-12.2130994797|Erbsen
8.1109762192|-4.2589302063|Himbeeren
18.187587738|-12.2151794434|junge
-7.6882829666|11.9949007034|tiefgefrorener
-35.785320282|4.7454514503|Kokosmilch
24.2654037476|-13.6281747818|weiße
26.560880661|-13.5587377548|Bohnen
-5.0640525818|10.1618404388|L
-33.1909713745|6.4708032608|Reis
11.620306015|-8.2069711685|Aceto
33.6420173645|-12.8670883179|Balsamico
22.582113266|-13.2724914551|di
11.9945383072|-8.4555196762|Modena
17.6554374695|-11.8978672028|Ananas
-33.4314193726|6.2971396446|Apfelsaft
6.6687355042|-2.8061161041|Aprikosen
-18.1379318237|13.9758014679|Fruchtaufstrich
-29.6073188782|9.3553199768|Avocado
40.2150611877|-10.7524175644|einer
15.2404975891|-10.9379920959|Eigelb
-26.6955738068|11.0427484512|Bacon
-21.1380691528|13.4089097977|Bergkäse
24.9500904083|-14.077375412|am
36.8567123413|-12.6625585556|Stück
-21.288936615|13.2034769058|Birnen
6.1076831818|-2.2719233036|reife
37.1438217163|-12.208902359|kg
-35.5364456177|4.2124371529|Cocktailtomaten
-30.3188457489|8.7582712173|Currypulver
34.8900489807|-12.6107206345|etwas
-5.7894053459|10.6956920624|Ei
8.6834697723|-5.1569652557|Emmentaler
-35.8828773499|4.0854158401|Erdnüsse
-23.5958480835|12.6465597153|Feldsalat
-36.7750282288|3.7507488728|Feta
13.1328382492|-9.3971652985|Frische
6.4562001228|-1.9852119684|15
0.7855368257|4.3631539345|38%
33.203956604|-12.8154973984|Garnelen
23.6010322571|-13.6036291122|Gouda
4.0412392616|0.5905737877|Gemüsebrühe
13.4608259201|-9.5601177216|Hähnchen
-23.5583610535|12.4960651398|Heidelbeeren
-33.638458252|6.1327881813|HokkaidoKürbis
19.0883903503|-12.9201784134|Joghurt
-16.0547237396|14.2594099045|Hackfleisch
28.2296714783|-13.176322937|
30.5918560028|-13.1862010956|dem
10.6615657806|-7.1079540253|mild
-31.0549526215|8.3992557526|Kugeln
-31.4661197662|7.8601498604|ganz
34.2481002808|-12.9028539658|Kartoffeln
5.8812422752|-2.0603058338|festkochend
-34.4841270447|5.1275730133|Kichererbsen
-29.2004146576|9.7076292038|Kresse
25.5342941284|-13.5316028595|Kräuter
-4.0520772934|9.489481926|Frischkäse
40.0318489075|-11.2535276413|Schale
-13.8563222885|13.9684524536|Karotten
-13.551864624|14.1697425842|Meersalz
11.5856599808|-8.0373487473|Kräutern
39.3954734802|-11.9356546402|zum
-24.539899826|12.200419426|Bestreuen
24.2173175812|-13.4557914734|Mehl
-1.0764404535|7.0873069763|Type
-9.9134263992|13.2267885208|550
-14.1383857727|14.0783157349|Typ
-17.9935741425|14.1023416519|Gewürz
-0.4639331102|5.7638807297|45
-32.6972541809|6.8781208992|Extra
9.9782896042|-6.6027536392|Naturjoghurt
5.8219213486|-1.8251696825|Möhren
26.8862895966|-13.7863073349|abgeriebene
15.9737348557|-11.1052236557|Paprika
-16.1572399139|13.9732913971|frischen
9.2328243256|-6.0474939346|Rote
-34.7649765015|5.3935413361|Linsen
-5.5103602409|10.8368940353|Pesto
22.8711738586|-13.4389448166|Petersilie
37.4716911316|-12.1760110855|Bund
-28.6876487732|9.5210752487|Quinoa
4.0506558418|0.4435958564|schwarz
-28.2010765076|9.9604187012|Quark
-35.5635147095|4.9834194183|Salatgurke
-4.0542740822|9.8704299927|Schmand
37.8107872009|-11.9917221069|Zitrone
-14.37429142|14.0799016953|Speisequark
15.7102575302|-10.9902868271|Kühlregal
-36.3497924805|4.2810564041|Süßrahmbutter
18.9413547516|-12.2431983948|Thymian
12.5559692383|-8.8396015167|Stiele
-37.1479034424|3.4944162369|Tofu
-7.236594677|11.714094162|natur
0.9678605199|4.4135527611|Weizenmehl
27.8475399017|-13.3257446289|l
-18.8316440582|14.0643749237|Becher
-22.3013000488|13.2516412735|Weiße
-36.2906150818|4.3457961082|Ziegenfrischkäse
15.2567415237|-10.5547437668|Minze
-29.3073883057|9.2694244385|Zitronensaft
31.2681369781|-13.1088647842|gelb
34.1777420044|-12.9628696442|rot
11.1364583969|-7.6409158707|festkochende
-8.3374757767|12.3256845474|HMilch
19.9975605011|-12.7621984482|gemahlener
