Menge|Bezeichnung|Einheit|Zuordnung
|(dunkel-)blaue Lebensmittelfarbe||Lebensmittelfarbe
2|(gehäuft) Backpulver|TL|Backpulver
3|(gehäuft) Tomatenmark|EL|Tomatenmark
1|(gestrichen) Speisestärke|TL|Speisestärke
|(hell-)blaue Lebensmittelfarbe||Lebensmittelfarbe
1|(klein) ja! Super Sweet Mais|Dose(n)|Mais
800|(kleiner Kopf) Rotkohl|g|Rotkohl
1|(nicht zu reife) Avocado||Avocado
|(veganer) Balsamico-Essig|etwas|Balsamico-Essig
0,25|Abrieb Limette||Limette
|Abrieb einer Limette||Limette
|Abrieb einer Zitrone||Zitrone
|Abrieb einer halben Bio-Orange||Bio-Orange
|Abrieb einer halben Zitrone||Zitrone
|Abrieb und Saft einer halben unbehandelten Limette||Limette
2|Abrieb von einer Bio-Orange|TL|Bio-Orange
2|Abrieb von einer Bio-Zitrone|TL|Bio-Zitrone
|Abrieb von einer halben Zitrone||Zitrone
200|Academia Barilla Linguine|g|Linguine
100|Aceto Balsamico di Modena|ml|Balsamico
1|Aceto Balsamico di Modena (z. B. von REWE Feine Welt)|EL|Balsamico
4|Agavendicksaft (z. B. von REWE Bio)|EL|Agavendicksaft
150|Agavendicksaft (z.B. von REWE Bio)|g|Agavendicksaft
100|Ahornsirup (nach Belieben)|ml|Ahornsirup
3|Ahornsirup (z.B. von REWE Bio)|EL|Ahornsirup
300|Allgäuer Bergkäse|g|Bergkäse
130|Alter Gouda|g|Gouda
1|Amalfi Zitrone (z.B. von REWE Feine Welt)||Zitrone
150|Ananas (Dose)|g|Ananas
1|Ananas (Scheiben)|Dose(n)|Ananas
2|Ananas (aus der Dose)|Scheibe(n)|Ananas
1|Ananas (oder vorgeschnittene Ananas)|kleine|Ananas
1|Ananas (z. B. von REWE Beste Wahl)|Dose(n)|Ananas
1|Ananas Scheiben|Dose(n)|Ananas
4|Ananas aus der Dose|Scheibe(n)|Ananas
500|Ananas in Scheiben (frisch oder aus der Dose)|g|Ananas
50|Apfelsaft von REWE Regional|ml|Apfelsaft
200|Appenzeller Käse|g|Käse
12|Aprikosen (Hälften aus der Dose)||Aprikosen
5|Aprikosen (getrocknet)||Aprikosen
1|Aprikosen (groß)|Dose(n)|Aprikosen
2,50|Aprikosen Konfitüre|EL|Aprikosen
350|Aprikosen Spalten|g|Aprikosen
1|Aprikosen aus der Dose|Dose(n)|Aprikosen
|Asiagewürz (z. B. REWE Feine Welt Asia Wokmischung)  Rapsöl||Rapsöl
1|Aubergine (klein)|halbe|Aubergine
1|Avocado (klein)|halbe|Avocado
1|Avocado (sehr reif)||Avocado
2|Avocados (fest)||Avocados
2|Avocados (reif)||Avocados
1|BBQ Gewürz (z. B. Magic Dust Ankerkraut)|EL|Gewürz
1|BBQ Gewürz (z. B. Magic Dust von Ankerkraut)|EL|Gewürz
100|Baby Spinat|g|Spinat
4|Babyleaf Salat (oder Feldsalat)|Handvoll|Salat
2|Backkakao (gehäuft)|EL|Backkakao
|Backpapier und Öl für das Backblech||Öl
4|Backpulver (Weinstein oder herkömmliches Backpulver)|TL|Backpulver
2|Backpulver (gehäuft)|TL|Backpulver
1|Backpulver (ja!)|TL|Backpulver
100|Bacon (Frühstücksspeck)|g|Bacon
100|Bacon (in Scheiben)|g|Bacon
|Bacon (optional)||Bacon
100|Bacon am Stück|g|Bacon
1|Baguette (oder anderes älteres Brot)||Baguette
8|Balsamico (z. B. von REWE Feine Welt)|EL|Balsamico
2|Balsamico Bianco  (oder Traubenessig)|EL|Balsamico
